als_val  , ps_val, tempbuf, mag[x] , mag[y] , mag[z] , pressbuf, presstempbuf, acc[x] , acc[y] , acc[z] , (RED)  , (GREEN), (BLUE) , (IR)   ,(GREEN2)
24.8,0,25.4,6.2,-42.4,-77.2,1021.005,21.4,-0.0,0.0,1.0,57,167,74,5,167
24.8,0,25.4,6.2,-42.4,-77.2,1021.005,21.4,-0.0,0.0,1.0,57,167,74,5,167
31.6,0,26.0,5.4,-41.8,-77.9,1020.997,21.4,-0.0,0.0,1.0,58,168,75,5,176
31.6,0,26.0,5.5,-41.8,-78.0,1020.997,21.4,-0.0,0.0,1.0,58,168,75,5,176
26.5,0,26.0,5.5,-43.1,-77.4,1020.997,21.4,-0.0,0.0,1.1,57,167,74,5,176
26.5,0,25.4,5.3,-44.0,-76.7,1020.997,21.4,-0.0,0.0,1.0,57,167,74,5,169
26.5,0,26.0,5.0,-44.3,-76.8,1021.005,21.4,-0.0,0.1,1.0,57,167,74,5,169
37.9,0,26.0,5.3,-43.5,-76.9,1021.005,21.4,-0.0,0.1,1.0,64,179,80,5,169
37.9,0,26.0,5.6,-42.3,-77.5,1021.005,21.4,-0.0,0.1,1.0,64,179,80,5,173
37.9,0,25.4,5.4,-42.3,-77.7,1021.005,21.4,-0.0,0.0,1.0,64,179,80,5,173
34.9,0,25.4,5.4,-44.0,-76.9,1021.005,21.4,-0.0,0.0,1.1,64,179,80,5,173
34.9,0,25.4,5.3,-45.4,-76.0,1021.005,21.4,-0.0,0.1,1.0,61,173,78,5,173
46.1,0,25.4,5.3,-46.0,-75.7,1020.989,21.4,-0.0,0.1,1.0,61,173,78,5,184
46.1,0,25.4,5.3,-44.3,-76.8,1020.989,21.4,-0.0,0.1,1.0,61,173,78,5,184
46.1,0,26.0,5.5,-42.1,-77.7,1020.989,21.4,-0.0,0.1,1.0,60,172,77,5,184
41.5,0,25.4,5.2,-42.2,-77.8,1020.989,21.4,-0.0,0.0,1.1,60,172,77,5,184
41.5,0,26.0,5.3,-44.5,-76.5,1020.989,21.4,-0.0,0.0,1.1,60,172,77,5,166
41.5,0,24.8,5.6,-45.6,-75.8,1020.989,21.4,-0.0,0.1,1.0,60,172,77,5,166
41.3,0,26.6,5.0,-43.4,-77.1,1020.989,21.4,-0.0,0.1,0.9,66,183,83,5,166
